date,year,quarter,month,year_month,month_name_tr,day,day_of_year,day_of_week,day_name_tr,iso_week,iso_year_week,is_weekend,is_month_end,has_sales
2024-02-01,2024,1,2,2024-02,Şubat,1,32,3,Perşembe,5,2024-W05,False,False,True
2024-02-02,2024,1,2,2024-02,Şubat,2,33,4,Cuma,5,2024-W05,False,False,True
2024-02-03,2024,1,2,2024-02,Şubat,3,34,5,Cumartesi,5,2024-W05,True,False,True
2024-02-04,2024,1,2,2024-02,Şubat,4,35,6,Pazar,5,2024-W05,True,False,True
2024-02-05,2024,1,2,2024-02,Şubat,5,36,0,Pazartesi,6,2024-W06,False,False,True
2024-02-06,2024,1,2,2024-02,Şubat,6,37,1,Salı,6,2024-W06,False,False,True
2024-02-07,2024,1,2,2024-02,Şubat,7,38,2,Çarşamba,6,2024-W06,False,False,True
2024-02-08,2024,1,2,2024-02,Şubat,8,39,3,Perşembe,6,2024-W06,False,False,True
2024-02-09,2024,1,2,2024-02,Şubat,9,40,4,Cuma,6,2024-W06,False,False,True
2024-02-10,2024,1,2,2024-02,Şubat,10,41,5,Cumartesi,6,2024-W06,True,False,True
2024-02-11,2024,1,2,2024-02,Şubat,11,42,6,Pazar,6,2024-W06,True,False,True
2024-02-12,2024,1,2,2024-02,Şubat,12,43,0,Pazartesi,7,2024-W07,False,False,True
2024-02-13,2024,1,2,2024-02,Şubat,13,44,1,Salı,7,2024-W07,False,False,True
2024-02-14,2024,1,2,2024-02,Şubat,14,45,2,Çarşamba,7,2024-W07,False,False,True
2024-02-15,2024,1,2,2024-02,Şubat,15,46,3,Perşembe,7,2024-W07,False,False,True
2024-02-16,2024,1,2,2024-02,Şubat,16,47,4,Cuma,7,2024-W07,False,False,True
2024-02-17,2024,1,2,2024-02,Şubat,17,48,5,Cumartesi,7,2024-W07,True,False,True
2024-02-18,2024,1,2,2024-02,Şubat,18,49,6,Pazar,7,2024-W07,True,False,True
2024-02-19,2024,1,2,2024-02,Şubat,19,50,0,Pazartesi,8,2024-W08,False,False,True
