store_code,net_sales,gross_sales,return_amount,return_rate_amount,net_quantity,n_transactions,avg_line_amount,revenue_rank,revenue_share_pct,revenue_tier,active_months,first_sale_date,last_sale_date,top_fit,top_fit_share_pct
1663,179354.03032,255547.76032,-76193.73,0.2982,171,347,516.87,1,1.0059,A,12,2024-02-02,2025-01-30,Mom,23.89
1636,178093.79865,238940.12865,-60846.33,0.2547,176,312,570.81,2,0.9988,A,12,2024-02-08,2025-01-31,Straight,30.69
1578,175539.88979000002,249184.61979,-73644.73,0.2955,171,327,536.82,3,0.9845,A,12,2024-02-01,2025-01-31,Wide Leg,19.89
1507,163336.64396000002,225164.94396,-61828.3,0.2746,158,294,555.57,4,0.9161,A,12,2024-02-02,2025-01-31,Straight,26.2
1758,160826.63475,206318.92475,-45492.29,0.2205,159,263,611.51,5,0.902,A,11,2024-02-01,2025-01-31,Straight,30.36
1527,160048.52896,230378.18896,-70329.66,0.3053,155,309,517.96,6,0.8976,A,12,2024-02-01,2025-01-30,Straight,30.52
1714,155869.68339,203065.23339,-47195.55,0.2324,197,305,511.05,7,0.8742,A,12,2024-02-05,2025-01-31,Straight,20.65
1806,154569.49873,237416.23873,-82846.74,0.349,143,329,469.82,8,0.8669,A,12,2024-02-01,2025-01-31,Wide Leg,22.76
1845,153429.08452,188970.81452,-35541.73,0.1881,152,226,678.89,9,0.8605,A,12,2024-02-03,2025-01-24,Straight,31.27
1628,150265.12716,202869.11716,-52603.99,0.2593,149,258,582.42,10,0.8427,A,12,2024-02-01,2025-01-30,Straight,27.45
1673,141472.47965,189589.40965000002,-48116.93,0.2538,137,243,582.19,11,0.7934,A,12,2024-02-02,2025-01-31,Straight,29.47
1688,138248.24079,179835.23079,-41586.99,0.2313,126,222,622.74,12,0.7753,A,11,2024-02-09,2025-01-31,Straight,23.4
1543,137776.34155,175171.05155,-37394.71,0.2135,130,214,643.81,13,0.7727,A,12,2024-02-01,2025-01-29,Straight,32.74
1687,136168.61263000002,175527.75263,-39359.14,0.2242,140,226,602.52,14,0.7637,A,12,2024-02-03,2025-01-30,Straight,31.18
1552,130917.51932,164219.05932,-33301.54,0.2028,124,192,681.86,15,0.7342,A,12,2024-02-04,2025-01-28,Straight,28.24
1828,126465.58796,170003.56796000001,-43537.98,0.2561,123,215,588.21,16,0.7093,A,12,2024-02-01,2025-01-29,Straight,24.8
1666,125325.55778,217093.66778000002,-91768.11,0.4227,132,328,382.09,17,0.7029,A,12,2024-02-02,2025-01-31,Straight,23.59
1618,124012.67354,164878.78354,-40866.11,0.2479,120,210,590.54,18,0.6955,A,12,2024-02-01,2025-01-29,Straight,30.35
1631,122009.21982,172794.96982,-50785.75,0.2939,120,227,537.49,19,0.6843,A,12,2024-02-02,2025-01-31,Straight,24.02
1803,117070.41683,160441.19683,-43370.78,0.2703,116,212,552.22,20,0.6566,A,12,2024-02-04,2025-01-31,Straight,20.95
1694,116991.47174000001,167239.08174,-50247.61,0.3005,145,278,420.83,21,0.6561,A,12,2024-02-05,2025-01-30,Straight,26.01
1641,112277.15139,148662.63139,-36385.48,0.2448,107,187,600.41,22,0.6297,A,12,2024-02-01,2025-01-29,Wide Leg,22.82
1871,111689.03563,150345.36563000001,-38656.33,0.2571,114,200,558.45,23,0.6264,A,12,2024-02-03,2025-01-31,Straight,24.03
1811,110792.54490000001,141139.80490000002,-30347.260000000002,0.215,111,177,625.95,24,0.6214,A,12,2024-02-03,2025-01-27,Straight,29.87
1605,110722.56678000001,144792.68678,-34070.12,0.2353,113,195,567.81,25,0.621,A,12,2024-02-01,2025-01-30,Straight,27.27
1576,110627.8892,145980.1792,-35352.29,0.2422,108,182,607.85,26,0.6204,A,12,2024-02-01,2025-01-28,Straight,24.52
1696,109390.60665,159345.32665,-49954.72,0.3135,104,210,520.91,27,0.6135,A,12,2024-02-02,2025-01-31,Straight,24.02
1838,108464.00378,138843.61378,-30379.61,0.2188,105,171,634.29,28,0.6083,A,12,2024-02-03,2025-01-28,Straight,39.8
1516,107881.57479,140634.91479,-32753.34,0.2329,104,176,612.96,29,0.605,A,12,2024-02-04,2025-01-31,Straight,26.51
1650,106083.62967,137915.12967,-31831.5,0.2308,102,168,631.45,30,0.595,A,12,2024-02-01,2025-01-26,Straight,29.71
1939,105327.73131,147498.20131,-42170.47,0.2859,99,189,557.29,31,0.5907,A,12,2024-02-09,2025-01-29,Straight,33.52
1922,104925.73496,167327.35496,-62401.62,0.3729,103,243,431.79,32,0.5885,A,11,2024-02-01,2025-01-28,Straight,24.16
1864,104471.71126,170745.03126,-66273.32,0.3881,97,245,426.42,33,0.5859,A,12,2024-02-10,2025-01-29,Wide Leg,29.06
1807,103582.72320000001,153711.9332,-50129.21,0.3261,102,212,488.6,34,0.5809,A,12,2024-02-01,2025-01-31,Mom,22.51
1581,103329.50213000001,150409.38213,-47079.880000000005,0.313,101,199,519.24,35,0.5795,A,12,2024-02-03,2025-01-30,Straight,29.0
1873,102276.21887,146380.67887,-44104.46,0.3013,102,196,521.82,36,0.5736,A,12,2024-02-02,2025-01-31,Flare,21.61
1517,101349.79954,137748.85954,-36399.06,0.2642,99,179,566.2,37,0.5684,A,12,2024-02-01,2025-01-31,Straight,35.07
1575,99215.28613000001,153441.15613000002,-54225.87,0.3534,95,217,457.21,38,0.5564,A,11,2024-02-03,2024-12-29,Straight,27.61
1870,94957.17888,130158.95888,-35201.78,0.2705,94,168,565.22,39,0.5326,A,12,2024-02-04,2025-01-31,Straight,28.88
1915,93545.30166,149194.13166,-55648.83,0.373,88,208,449.74,40,0.5246,A,12,2024-02-02,2025-01-31,Flare,27.44
1936,92655.58391,129147.39391,-36491.81,0.2826,92,174,532.5,41,0.5196,A,12,2024-02-11,2025-01-31,Straight,33.02
1825,92519.77233,137520.08233,-45000.31,0.3272,96,192,481.87,42,0.5189,A,12,2024-02-04,2025-01-28,Mom,20.58
1646,92274.73478,122354.45478,-30079.72,0.2458,103,173,533.38,43,0.5175,A,12,2024-02-10,2025-01-31,Flare,21.83
1885,92088.08492000001,131480.63492,-39392.55,0.2996,93,179,514.46,44,0.5165,A,12,2024-02-03,2025-01-30,Flare,35.06
1855,89171.74513,135213.42513,-46041.68,0.3405,86,188,474.32,45,0.5001,A,12,2024-02-06,2025-01-29,Straight,20.07
1734,88436.41381,128290.29381,-39853.880000000005,0.3107,106,196,451.21,46,0.496,A,12,2024-02-05,2025-01-26,Straight,23.39
1651,88313.59853,108185.56853,-19871.97,0.1837,88,132,669.04,47,0.4953,A,12,2024-02-03,2025-01-30,Straight,31.43
1823,88235.82872,129883.35872,-41647.53,0.3207,85,177,498.51,48,0.4949,A,12,2024-02-02,2025-01-31,Straight,27.38
1775,88055.77212000001,130102.43212,-42046.66,0.3232,85,183,481.18,49,0.4938,A,12,2024-02-03,2025-01-30,Straight,29.68
1647,86694.86478,122944.84478,-36249.98,0.2948,85,165,525.42,50,0.4862,A,12,2024-02-03,2025-01-29,Straight,29.96
1894,86633.92871000001,99322.71871,-12688.79,0.1278,90,118,734.19,51,0.4859,A,12,2024-02-04,2025-01-31,Flare,18.46
1533,85930.33404,141043.45404,-55113.12,0.3908,82,198,433.99,52,0.4819,A,12,2024-02-02,2025-01-31,Flare,22.84
1677,85564.78263,134609.55263,-49044.770000000004,0.3643,87,199,429.97,53,0.4799,A,12,2024-02-03,2025-01-31,Straight,26.8
1556,85096.86618,131679.72618,-46582.86,0.3538,83,185,459.98,54,0.4773,A,12,2024-02-01,2025-01-25,Straight,33.39
1813,84809.10875,122355.72875000001,-37546.62,0.3069,85,167,507.84,55,0.4756,A,12,2024-02-20,2025-01-30,Flare,28.24
1559,84423.99593,112888.63593,-28464.64,0.2521,85,151,559.1,56,0.4735,A,12,2024-02-02,2025-01-23,Straight,33.14
