store_code,year_month,net_sales,gross_sales,return_amount,net_quantity,n_transactions,had_sales
1501,2024-02,490.89999999999986,1581.8,-1090.9,1,3,True
1501,2024-03,-195.15332999999998,804.83667,-999.99,0,2,True
1501,2024-04,1795.25,2613.42,-818.17,2,4,True
1501,2024-05,-144.0,855.99,-999.99,0,2,True
1501,2024-06,4335.42,5153.59,-818.17,4,6,True
1501,2024-07,1763.62,1763.62,0.0,2,2,True
1501,2024-08,54.909999999999854,1145.81,-1090.9,0,2,True
1501,2024-09,5063.59,6763.57,-1699.98,5,8,True
1501,2024-10,3904.16761,6085.96761,-2181.8,4,8,True
1501,2024-11,2909.06,6363.58,-3454.52,3,9,True
1501,2024-12,3984.70982,5075.60982,-1090.9,4,6,True
1501,2025-01,454.54999999999995,2454.5299999999997,-1999.98,0,4,True
1502,2024-02,3687.96036,5197.030360000001,-1509.07,4,8,True
1502,2024-03,3672.78908,3672.78908,0.0,4,4,True
1502,2024-04,3999.96,3999.96,0.0,4,4,True
1502,2024-05,2181.8,2181.8,0.0,2,2,True
1502,2024-06,1136.3600000000001,2136.3500000000004,-999.99,1,3,True
1502,2024-07,763.63,763.63,0.0,1,1,True
1502,2024-08,1272.72,2272.71,-999.99,1,3,True
1502,2024-09,7727.210000000001,8727.2,-999.99,7,9,True
1502,2024-10,1269.47538,8404.76538,-7135.29,1,15,True
1502,2024-11,6461.18,7524.57,-1063.39,6,8,True
1502,2024-12,9785.21421,11057.93421,-1272.72,9,11,True
1502,2025-01,2636.35,4999.97,-2363.62,2,6,True
1504,2024-02,909.08,909.08,0.0,1,1,True
1504,2024-03,-1399.98,818.17,-2218.1499999999996,-2,4,True
1504,2024-04,6909.0,6909.0,0.0,8,8,True
1504,2024-05,999.99,999.99,0.0,1,1,True
1504,2024-06,1886.3400000000001,4727.22,-2840.88,2,8,True
1504,2024-07,2247.12,3180.49,-933.37,3,5,True
1504,2024-08,3118.16,3845.42,-727.26,3,5,True
1504,2024-09,1499.9900000000002,4272.6900000000005,-2772.7,1,7,True
1504,2024-10,2493.19336,5902.24336,-3409.05,2,10,True
1504,2024-11,1363.63,3272.7000000000003,-1909.0700000000002,1,5,True
1504,2024-12,4727.24,4727.24,0.0,4,4,True
1504,2025-01,1272.7199999999998,2363.62,-1090.9,1,3,True
1505,2024-02,-1363.6099999999997,1090.9,-2454.5099999999998,-2,4,True
1505,2024-03,2593.32017,2593.32017,0.0,3,3,True
1505,2024-04,1936.2851500000002,1936.2851500000002,0.0,2,2,True
1505,2024-05,1710.15947,1710.15947,0.0,2,2,True
1505,2024-06,1574.1427199999998,2665.04272,-1090.9,2,4,True
1505,2024-07,1636.3400000000001,1636.3400000000001,0.0,2,2,True
1505,2024-08,1145.44,2236.34,-1090.9,2,4,True
1505,2024-09,5881.76,7154.4800000000005,-1272.72,6,8,True
1505,2024-10,5410.37141,8359.64141,-2949.27,5,11,True
1505,2024-11,6044.25,8226.05,-2181.8,6,10,True
1505,2024-12,5975.87,5975.87,0.0,5,5,True
1505,2025-01,7326.46724,8508.27724,-1181.81,6,8,True
1507,2024-02,4963.39684,8381.53684,-3418.14,7,15,True
1507,2024-03,13687.70091,15874.54091,-2186.84,15,21,True
1507,2024-04,7886.36023,9431.79023,-1545.4299999999998,9,13,True
1507,2024-05,181.82000000000005,4636.31,-4454.49,0,10,True
1507,2024-06,1452.63,12082.300000000001,-10629.67,0,24,True
1507,2024-07,10219.92272,12647.16272,-2427.24,11,17,True
1507,2024-08,12018.08,17418.02,-5399.9400000000005,12,24,True
1507,2024-09,27830.54,33358.26,-5527.72,25,37,True
1507,2024-10,42539.30646,50359.49646,-7820.1900000000005,40,56,True
1507,2024-11,20432.95978,25455.63978,-5022.68,20,30,True
1507,2024-12,8760.274280000001,16533.56428,-7773.29,7,23,True
1507,2025-01,13363.65274,18986.32274,-5622.67,12,24,True
1508,2024-02,1909.0700000000002,1909.0700000000002,0.0,2,2,True
1508,2024-03,603.27288,1694.17288,-1090.9,1,3,True
1508,2024-04,3165.68306,5165.66306,-1999.98,4,8,True
1508,2024-05,1090.9,1090.9,0.0,1,1,True
1508,2024-06,4334.68,4334.68,0.0,5,5,True
1508,2024-07,2506.86754,3588.66754,-1081.8,3,7,True
1508,2024-08,3299.9700000000003,5936.3,-2636.33,4,10,True
1508,2024-09,5194.68,7558.3,-2363.62,5,9,True
1508,2024-10,5068.0584,7249.8584,-2181.8,5,9,True
1508,2024-11,7121.7959,7121.7959,0.0,7,7,True
1508,2024-12,1586.80672,1586.80672,0.0,2,2,True
1508,2025-01,3249.97,4340.87,-1090.9,3,5,True
1509,2024-02,2909.06,3818.1400000000003,-909.08,3,5,True
1509,2024-03,2299.9700000000003,3209.05,-909.08,3,5,True
1509,2024-04,2316.67731,4043.92731,-1727.25,3,7,True
1509,2024-05,1141.5275900000001,2541.50759,-1399.98,1,5,True
1509,2024-06,4014.16,8741.380000000001,-4727.22,4,14,True
1509,2024-07,481.81000000000006,2118.15,-1636.3400000000001,1,5,True
1509,2024-08,581.8100000000001,4236.32,-3654.51,1,9,True
1509,2024-09,830.8932599999998,3830.86326,-2999.9700000000003,1,7,True
1509,2024-10,6068.12,6068.12,0.0,6,6,True
1509,2024-11,7413.55,8340.810000000001,-927.26,7,9,True
1509,2024-12,2345.4300000000003,4999.950000000001,-2654.52,2,8,True
1509,2025-01,305.90999999999974,3272.7,-2966.79,0,6,True
1512,2024-02,3133.6,3133.6,0.0,4,4,True
1512,2024-03,5277.75636,5277.75636,0.0,6,6,True
1512,2024-04,800.17,800.17,0.0,1,1,True
1512,2024-05,1399.98,1399.98,0.0,2,2,True
1512,2024-06,818.1700000000001,2818.15,-1999.98,1,5,True
1512,2024-07,4401.90658,4947.35658,-545.45,4,6,True
1512,2024-08,1090.8999999999999,2181.8,-1090.9,1,3,True
1512,2024-09,854.54,1763.62,-909.08,1,3,True
1512,2024-10,3076.26273,4167.16273,-1090.9,3,5,True
1512,2024-11,4655.04,4655.04,0.0,5,5,True
1512,2024-12,6568.86024,6568.86024,0.0,7,7,True
1512,2025-01,5659.05,5659.05,0.0,5,5,True
1513,2024-02,4327.22,5236.3,-909.08,5,7,True
1513,2024-03,2941.51,3523.32,-581.81,3,5,True
1513,2024-04,-903.7499999999999,1550.76,-2454.5099999999998,-1,5,True
1513,2024-05,1643.8070699999998,4734.68707,-3090.88,2,8,True
1513,2024-06,2554.53091,4581.77091,-2027.24,2,8,True
1513,2024-07,-1063.62,572.72,-1636.3400000000001,-1,3,True
1513,2024-08,0.0,0.0,0.0,0,0,False
1513,2024-09,2454.5299999999997,4181.78,-1727.25,2,6,True
1513,2024-10,3410.5800000000004,5992.370000000001,-2581.79,3,9,True
1513,2024-11,1445.26,3091.79,-1646.5300000000002,1,5,True
1513,2024-12,4875.46,6818.13,-1942.67,4,8,True
1513,2025-01,1454.54,3818.16,-2363.62,1,5,True
1514,2024-02,170.4518200000001,1643.16182,-1472.71,0,4,True
1514,2024-03,1272.72,1999.98,-727.26,1,3,True
1514,2024-04,3915.52138,4824.60138,-909.08,5,7,True
1514,2024-05,-1727.25,0.0,-1727.25,-2,2,True
1514,2024-06,818.1700000000001,2818.15,-1999.98,1,5,True
1514,2024-07,5190.860000000001,5763.58,-572.72,5,7,True
1514,2024-08,9217.0,10216.99,-999.99,10,12,True
1514,2024-09,6727.21,8727.19,-1999.98,7,11,True
1514,2024-10,6313.1,8585.81,-2272.71,7,11,True
1514,2024-11,7322.01,8306.85,-984.84,7,9,True
1514,2024-12,10920.30879,14047.55879,-3127.25,10,16,True
1514,2025-01,-1265.81,3552.34,-4818.15,-1,7,True
1515,2024-02,0.0,0.0,0.0,0,0,False
1515,2024-03,710.16947,710.16947,0.0,1,1,True
1515,2024-04,909.0799999999999,1818.1599999999999,-909.08,1,3,True
1515,2024-05,0.0,0.0,0.0,0,0,False
1515,2024-06,-909.08,0.0,-909.08,-1,1,True
1515,2024-07,646.73736,646.73736,0.0,1,1,True
1515,2024-08,3677.84805,4677.83805,-999.99,4,6,True
1515,2024-09,4007.4900000000002,4007.4900000000002,0.0,4,4,True
1515,2024-10,843.74,843.74,0.0,1,1,True
1515,2024-11,2181.8,2181.8,0.0,2,2,True
1515,2024-12,-1181.81,0.0,-1181.81,-1,1,True
1515,2025-01,2264.12,3218.66,-954.54,2,4,True
1516,2024-02,3239.39447,4057.5644700000003,-818.17,3,5,True
1516,2024-03,5544.37577,5980.72577,-436.35,6,8,True
1516,2024-04,6965.280000000001,9292.52,-2327.2400000000002,7,13,True
1516,2024-05,7508.35063,7508.35063,0.0,9,9,True
1516,2024-06,5480.7434,10681.1334,-5200.39,6,18,True
1516,2024-07,5972.67,7554.47,-1581.8,6,10,True
1516,2024-08,4936.33,8909.02,-3972.6900000000005,4,12,True
1516,2024-09,16981.37,22135.87,-5154.5,16,26,True
1516,2024-10,11172.41545,16395.22545,-5222.8099999999995,10,20,True
1516,2024-11,13901.53254,17086.42254,-3184.8900000000003,13,21,True
1516,2024-12,12097.44535,14006.51535,-1909.0700000000002,11,15,True
1516,2025-01,14081.66718,17027.09718,-2945.43,13,19,True
1517,2024-02,3905.4,5814.47,-1909.0700000000002,5,9,True
1517,2024-03,3080.0907800000004,6191.930780000001,-3111.84,3,11,True
1517,2024-04,6796.88053,9615.03053,-2818.15,8,14,True
1517,2024-05,3665.56405,5392.81405,-1727.25,5,9,True
1517,2024-06,7571.68,11298.91,-3727.23,8,16,True
1517,2024-07,690.9100000000003,4772.68,-4081.77,0,10,True
1517,2024-08,3915.3599600000007,8615.30996,-4699.95,5,15,True
1517,2024-09,17924.38545,21406.16545,-3481.78,16,24,True
1517,2024-10,17717.6065,20574.0465,-2856.44,17,23,True
1517,2024-11,15705.05644,18054.316440000002,-2349.26,14,20,True
1517,2024-12,9404.1,9404.1,0.0,9,9,True
1517,2025-01,10972.76583,16609.08583,-5636.32,9,19,True
1518,2024-02,5098.12182,5670.84182,-572.72,6,8,True
1518,2024-03,5233.85904,7870.18904,-2636.33,6,12,True
1518,2024-04,818.1700000000001,2636.33,-1818.1599999999999,1,5,True
1518,2024-05,-112.96000000000004,2523.37,-2636.33,0,6,True
1518,2024-06,836.3600000000002,3999.96,-3163.6,0,8,True
1518,2024-07,959.1000000000003,4881.77,-3922.67,0,10,True
1518,2024-08,3545.43,5181.77,-1636.3400000000001,3,7,True
1518,2024-09,11139.28,12999.890000000001,-1860.6100000000001,10,14,True
1518,2024-10,3176.8599999999997,5085.93,-1909.0700000000002,3,7,True
1518,2024-11,1952.1399999999999,3043.04,-1090.9,2,4,True
1518,2024-12,5515.33002,6697.140020000001,-1181.81,6,8,True
1518,2025-01,3727.25,4909.0599999999995,-1181.81,3,5,True
1519,2024-02,1793.2777,2611.4477,-818.17,2,4,True
1519,2024-03,4483.45708,4483.45708,0.0,5,5,True
1519,2024-04,3954.5,7454.46,-3499.96,4,12,True
