DocID,StoreCode,ProductCode,ProductItemCode,size_code,Date,year_month,hour,minute,time_str,Quantity,Amount,DiscountAmount,assumed_gross_amount,sales_amount,return_amount,sales_qty,return_qty,ReturnFlag,is_return,is_anomaly,discount_gt_amount,discount_negative,ChangeCardFlag
7963,1922,M100277-85272,M100277-85272042,042,2024-03-13,2024-03,20,24,20:24,1,-63.64,272.72727,209.08727,-63.64,0.0,1,0,0,False,True,True,False,0
7997,1659,M1010299-83039,M1010299-83039028,028,2024-03-13,2024-03,21,16,21:16,1,-57.27,245.45455,188.18455,-57.27,0.0,1,0,0,False,True,True,False,0
7998,1930,M1010125-84418,M1010125-84418003,003,2024-03-06,2024-03,13,35,13:35,1,-42.0,180.0,138.0,-42.0,0.0,1,0,0,False,True,True,False,0
8011,1894,M101048-84417,M101048-84417020,020,2024-03-06,2024-03,19,3,19:03,1,-15.37767,272.72727,257.34959999999995,-15.37767,0.0,1,0,0,False,True,True,False,0
13390,1666,M101077-85611,M101077-85611012,012,2024-06-05,2024-06,14,12,14:12,1,-63.64,272.72727,209.08727,-63.64,0.0,1,0,0,False,True,True,False,0
13391,1534,M101441-81364,M101441-81364006,006,2024-06-05,2024-06,16,11,16:11,1,-63.64,272.72727,209.08727,-63.64,0.0,1,0,0,False,True,True,False,0
13416,1892,M1010299-83039,M1010299-83039007,007,2024-06-12,2024-06,20,28,20:28,1,-58.79092,300.0,241.20908,-58.79092,0.0,1,0,0,False,True,True,False,0
19015,1699,M101441-82297,M101441-82297058,058,2024-06-05,2024-06,17,56,17:56,1,-63.64,272.72727,209.08727,-63.64,0.0,1,0,0,False,True,True,False,0
19091,1803,M1010593-87063,M1010593-87063014,014,2024-06-19,2024-06,20,3,20:03,1,-70.0,300.0,230.0,-70.0,0.0,1,0,0,False,True,True,False,0
23039,1670,M1010849-88257,M1010849-88257056,056,2024-09-05,2024-09,16,11,16:11,1,-76.36,327.27273,250.91273,-76.36,0.0,1,0,0,False,True,True,False,0
23085,1845,M1010299-83039,M1010299-83039014,014,2024-10-30,2024-10,17,36,17:36,1,-70.0,300.0,230.0,-70.0,0.0,1,0,0,False,True,True,False,0
23107,1558,M101441-86391,M101441-86391013,013,2024-09-25,2024-09,22,3,22:03,1,-9.18352,327.27273,318.08921000000004,-9.18352,0.0,1,0,0,False,True,True,False,0
32913,1587,M101441-82297,M101441-82297058,058,2024-11-06,2024-11,17,12,17:12,1,-16.1,0.0,-16.1,-16.1,0.0,1,0,0,False,True,True,False,0
36969,1516,M101077-30503,M101077-30503012,012,2025-01-13,2025-01,18,10,18:10,1,-72.13148,327.27273,255.14125,-72.13148,0.0,1,0,0,False,True,True,False,0
37076,1939,M1010727-88210,M1010727-88210016,016,2024-12-04,2024-12,16,51,16:51,1,-82.73,354.54545,271.81545,-82.73,0.0,1,0,0,False,True,True,False,0
