raw_label,normalized_label,final_fit,n_products
Baggy,Baggy,Baggy,79
Boyfriend,Boyfriend,Boyfriend,82
Flare,Flare,Flare,277
Mom,Mom,Mom,135
Büyük Beden,Büyük Beden,Other,3
Maternity,Hamile,Other,2
Denim All,Denim All,Other,2
Fashion Woven Pants,Fashion Woven Pants,Other,1
Cord Pants,Cord Pants,Other,1
Cargo Pants,Cargo Pants,Other,1
Hamile,Hamile,Other,1
Colored Denims,Renkli Denim,Renkli Denim,4
Renkli Denim,Renkli Denim,Renkli Denim,1
Skinny,Skinny,Skinny,197
Slim Straight,Slim Straight,Slim Straight,115
Straight,Straight,Straight,215
Super Skinny,Super Skinny,Super Skinny,91
Wide Leg,Wide Leg,Wide Leg,304
