fit,net_sales,gross_sales,return_amount,n_rows,net_qty,share_pct,return_rate_amount
Straight,4299772.62,5817280.75,-1517508.13,7170,4086,24.11,0.26
Flare,3179695.11,4532113.02,-1352417.91,6136,3102,17.83,0.3
Mom,2629281.55,4193398.01,-1564116.46,7028,3128,14.75,0.37
Wide Leg,2515807.89,3437087.53,-921279.64,4158,2326,14.11,0.27
Super Skinny,1789616.0,2489494.68,-699878.68,3510,1892,10.04,0.28
Slim Straight,1558790.22,2056916.14,-498125.92,2779,1641,8.74,0.24
Baggy,1020834.89,1333696.91,-312862.02,1536,920,5.73,0.23
Skinny,725130.93,1096403.53,-371272.6,1512,679,4.07,0.34
Renkli Denim,98143.28,133544.95,-35401.67,181,110,0.55,0.27
Boyfriend,13417.95,18226.42,-4808.47,60,36,0.08,0.26
