hour,net_sales,gross_sales,return_amount,n_rows,net_qty,share_pct
9,-845.44,2854.52,-3699.96,7,-1,-0.0
10,167699.75,331579.18,-163879.43,521,173,0.94
11,444030.35,763285.92,-319255.57,1151,435,2.49
12,988631.2,1487341.36,-498710.16,2098,998,5.54
13,1345049.42,1968596.34,-623546.92,2728,1339,7.54
14,1722105.06,2421798.96,-699693.9,3277,1720,9.66
15,2005365.13,2807954.57,-802589.44,3772,2015,11.25
16,2116573.18,2911190.6,-794617.42,3882,2105,11.87
17,2193291.21,2965996.94,-772705.73,3925,2197,12.3
18,2098076.71,2905510.12,-807433.41,3911,2124,11.77
19,1884751.3,2630611.8,-745860.5,3532,1888,10.57
20,1640479.78,2273488.71,-633008.93,3063,1667,9.2
21,1112990.54,1507448.0,-394457.46,2044,1149,6.24
22,94570.62,110537.87,-15967.25,140,98,0.53
23,17721.62,19967.04,-2245.42,19,13,0.1
