size_code,net_sales,net_qty,n_rows,gross_sales,return_amount,qty_share_pct,return_rate_amount
014,1594071.19,1499,2875,2168391.91,-574320.72,8.36,0.26
026,1207107.81,1271,1374,1248870.86,-41763.05,7.09,0.03
028,1191912.62,1152,1940,1558399.3,-366486.68,6.43,0.24
034,1082060.86,1096,1720,1365198.42,-283137.56,6.12,0.21
017,947600.3,952,2176,1500907.45,-553307.15,5.31,0.37
042,1008474.61,880,1623,1384710.65,-376236.04,4.91,0.27
020,615971.98,822,1805,1038365.8,-422393.82,4.59,0.41
016,861796.16,761,1241,1108832.27,-247036.11,4.25,0.22
036,724612.06,726,1058,883875.51,-159263.45,4.05,0.18
041,780347.15,722,1040,938413.98,-158066.83,4.03,0.17
015,603240.02,593,871,728820.02,-125580.0,3.31,0.17
022,513348.97,580,994,681081.21,-167732.24,3.24,0.25
012,486642.8,535,897,649817.28,-163174.48,2.99,0.25
032,361315.91,443,461,369224.9,-7908.99,2.47,0.02
057,473876.83,435,611,563021.09,-89144.26,2.43,0.16
063,449222.56,395,619,564097.26,-114874.7,2.2,0.2
050,367648.91,341,801,594912.7,-227263.79,1.9,0.38
058,347159.8,330,732,544496.03,-197336.23,1.84,0.36
007,273977.23,308,526,368233.79,-94256.56,1.72,0.26
037,297723.86,298,852,558022.69,-260298.83,1.66,0.47
056,287488.85,285,727,491845.51,-204356.66,1.59,0.42
006,248552.24,269,515,356818.38,-108266.14,1.5,0.3
025,233473.81,250,576,377847.12,-144373.31,1.4,0.38
019,197180.82,248,470,284185.55,-87004.73,1.38,0.31
035,242357.77,227,467,368658.54,-126300.77,1.27,0.34
005,197863.09,194,502,336619.44,-138756.35,1.08,0.41
064,197820.28,186,282,246855.03,-49034.75,1.04,0.2
011,151713.68,178,581,316803.1,-165089.42,0.99,0.52
044,150555.7,171,349,222916.54,-72360.84,0.95,0.32
013,173451.68,168,540,346278.49,-172826.81,0.94,0.5
043,131509.41,140,368,229557.72,-98048.31,0.78,0.43
021,132658.22,131,389,249366.29,-116708.07,0.73,0.47
029,132251.31,128,224,174240.6,-41989.29,0.71,0.24
008,106544.89,113,325,189450.03,-82905.14,0.63,0.44
038,115335.78,103,137,124831.94,-9496.16,0.57,0.08
051,93324.66,94,252,167810.94,-74486.28,0.52,0.44
049,93547.4,84,194,149699.97,-56152.57,0.47,0.38
045,76349.89,79,129,99097.44,-22747.55,0.44,0.23
002,46449.68,77,93,52245.05,-5795.37,0.43,0.11
031,57705.52,73,241,121914.47,-64208.95,0.41,0.53
024,66839.92,68,180,112828.22,-45988.3,0.38,0.41
009,55217.26,54,218,133988.87,-78771.61,0.3,0.59
023,46232.06,48,204,100060.63,-53828.57,0.27,0.54
059,53795.61,48,62,60159.17,-6363.56,0.27,0.11
052,47427.16,47,97,72572.38,-25145.22,0.26,0.35
010,55433.11,46,195,110280.58,-54847.47,0.26,0.5
001,51174.94,41,303,179441.07,-128266.13,0.23,0.71
027,25556.92,38,70,36588.51,-11031.59,0.21,0.3
048,37107.15,30,188,113816.94,-76709.79,0.17,0.67
030,18664.29,30,107,42963.58,-24299.29,0.17,0.57
156,26227.1,24,46,37009.69,-10782.59,0.13,0.29
070,25660.16,23,189,104825.05,-79164.89,0.13,0.76
147,6901.09,19,29,8836.82,-1935.73,0.11,0.22
133,6516.86,17,31,9389.6,-2872.74,0.09,0.31
047,12916.64,15,15,12916.64,0.0,0.08,0.0
053,12120.36,11,17,15665.79,-3545.43,0.06,0.23
084,12777.97,11,15,14787.04,-2009.07,0.06,0.14
062,7538.06,9,29,17296.77,-9758.71,0.05,0.56
136,1559.5,5,9,2162.06,-602.56,0.03,0.28
158,1454.52,3,3,1454.52,0.0,0.02,0.0
003,3097.32,3,9,4477.29,-1379.97,0.02,0.31
039,3430.02,2,70,26330.85,-22900.83,0.01,0.87
072,1519.39,1,3,1955.74,-436.35,0.01,0.22
069,-437.81,0,8,1834.88,-2272.69,0.0,1.24
033,-32.35,0,2,967.64,-999.99,0.0,1.03
046,0.0,0,2,909.08,-909.08,0.0,1.0
018,3940.38,-1,333,139824.03,-135883.65,-0.01,0.97
060,-727.26,-1,1,0.0,-727.26,-0.01,inf
065,-1736.12,-2,40,16087.1,-17823.22,-0.01,1.11
109,-1357.05,-3,7,636.35,-1993.4,-0.02,3.13
114,-2573.04,-3,11,3359.81,-5932.85,-0.02,1.77
