StoreCode,net_sales,gross_sales,return_amount,n_rows,net_qty,rank,share_pct,cum_share_pct,return_rate_amount
1663,179354.03,255547.76,-76193.73,347,171,1,1.01,1.01,0.3
1636,178093.8,238940.13,-60846.33,312,176,2,1.0,2.0,0.25
1578,175539.89,249184.62,-73644.73,327,171,3,0.98,2.99,0.3
1507,163336.64,225164.94,-61828.3,294,158,4,0.92,3.91,0.27
1758,160826.63,206318.92,-45492.29,263,159,5,0.9,4.81,0.22
1527,160048.53,230378.19,-70329.66,309,155,6,0.9,5.7,0.31
1714,155869.68,203065.23,-47195.55,305,197,7,0.87,6.58,0.23
1806,154569.5,237416.24,-82846.74,329,143,8,0.87,7.45,0.35
1845,153429.08,188970.81,-35541.73,226,152,9,0.86,8.31,0.19
1628,150265.13,202869.12,-52603.99,258,149,10,0.84,9.15,0.26
1673,141472.48,189589.41,-48116.93,243,137,11,0.79,9.94,0.25
1688,138248.24,179835.23,-41586.99,222,126,12,0.78,10.72,0.23
1543,137776.34,175171.05,-37394.71,214,130,13,0.77,11.49,0.21
1687,136168.61,175527.75,-39359.14,226,140,14,0.76,12.25,0.22
1552,130917.52,164219.06,-33301.54,192,124,15,0.73,12.99,0.2
1828,126465.59,170003.57,-43537.98,215,123,16,0.71,13.7,0.26
1666,125325.56,217093.67,-91768.11,328,132,17,0.7,14.4,0.42
1618,124012.67,164878.78,-40866.11,210,120,18,0.7,15.1,0.25
1631,122009.22,172794.97,-50785.75,227,120,19,0.68,15.78,0.29
1803,117070.42,160441.2,-43370.78,212,116,20,0.66,16.44,0.27
1694,116991.47,167239.08,-50247.61,278,145,21,0.66,17.09,0.3
1641,112277.15,148662.63,-36385.48,187,107,22,0.63,17.72,0.24
1871,111689.04,150345.37,-38656.33,200,114,23,0.63,18.35,0.26
1811,110792.54,141139.8,-30347.26,177,111,24,0.62,18.97,0.22
1605,110722.57,144792.69,-34070.12,195,113,25,0.62,19.59,0.24
1576,110627.89,145980.18,-35352.29,182,108,26,0.62,20.21,0.24
1696,109390.61,159345.33,-49954.72,210,104,27,0.61,20.83,0.31
1838,108464.0,138843.61,-30379.61,171,105,28,0.61,21.43,0.22
1516,107881.57,140634.91,-32753.34,176,104,29,0.61,22.04,0.23
1650,106083.63,137915.13,-31831.5,168,102,30,0.59,22.63,0.23
1939,105327.73,147498.2,-42170.47,189,99,31,0.59,23.22,0.29
1922,104925.73,167327.35,-62401.62,243,103,32,0.59,23.81,0.37
1864,104471.71,170745.03,-66273.32,245,97,33,0.59,24.4,0.39
1807,103582.72,153711.93,-50129.21,212,102,34,0.58,24.98,0.33
1581,103329.5,150409.38,-47079.88,199,101,35,0.58,25.56,0.31
1873,102276.22,146380.68,-44104.46,196,102,36,0.57,26.13,0.3
1517,101349.8,137748.86,-36399.06,179,99,37,0.57,26.7,0.26
1575,99215.29,153441.16,-54225.87,217,95,38,0.56,27.26,0.35
1870,94957.18,130158.96,-35201.78,168,94,39,0.53,27.79,0.27
1915,93545.3,149194.13,-55648.83,208,88,40,0.52,28.31,0.37
1936,92655.58,129147.39,-36491.81,174,92,41,0.52,28.83,0.28
1825,92519.77,137520.08,-45000.31,192,96,42,0.52,29.35,0.33
1646,92274.73,122354.45,-30079.72,173,103,43,0.52,29.87,0.25
1885,92088.08,131480.63,-39392.55,179,93,44,0.52,30.39,0.3
