fit_group,year_month,net_sales,net_qty,gross_sales,return_amount,n_rows,return_rate_amount,share_of_month_pct
Straight,2024-02,7930.86,8,20867.98,-12937.12,40,0.62,1.01
Straight,2024-03,473.1,-2,17837.37,-17364.27,48,0.97,0.04
Straight,2024-04,38294.25,43,107162.22,-68867.97,207,0.64,3.5
Straight,2024-05,78214.39,80,148269.17,-70054.78,234,0.47,13.64
Straight,2024-06,320162.72,323,456611.75,-136449.03,627,0.3,21.09
Straight,2024-07,224816.78,220,341708.08,-116891.3,463,0.34,27.31
Straight,2024-08,520404.35,501,644733.42,-124329.07,749,0.19,33.53
Straight,2024-09,626492.85,581,798124.3,-171631.45,913,0.22,22.66
Straight,2024-10,751788.96,741,1034933.32,-283144.36,1305,0.27,31.25
Straight,2024-11,753940.29,727,951730.71,-197790.42,1115,0.21,39.68
Straight,2024-12,415502.25,373,584096.04,-168593.79,703,0.29,26.99
Straight,2025-01,561751.83,491,711206.4,-149454.57,766,0.21,31.76
Flare,2024-02,65234.43,72,159723.44,-94489.01,320,0.59,8.3
Flare,2024-03,87328.39,102,165693.89,-78365.5,306,0.47,7.91
Flare,2024-04,20769.02,25,96819.96,-76050.94,215,0.79,1.9
Flare,2024-05,76866.33,89,153132.44,-76266.11,275,0.5,13.41
Flare,2024-06,230641.39,255,347231.63,-116590.24,531,0.34,15.19
Flare,2024-07,74358.53,74,168952.72,-94594.19,302,0.56,9.03
Flare,2024-08,211923.39,216,301944.67,-90021.28,418,0.3,13.65
Flare,2024-09,601964.54,568,742505.3,-140540.76,864,0.19,21.78
Flare,2024-10,423716.27,421,611310.35,-187594.08,819,0.31,17.61
Flare,2024-11,552685.57,555,686381.67,-133696.1,831,0.19,29.09
Flare,2024-12,276426.56,247,420696.9,-144270.34,551,0.34,17.96
Flare,2025-01,557780.68,478,677720.04,-119939.36,704,0.18,31.54
Mom,2024-02,113759.98,161,165721.64,-51961.66,305,0.31,14.48
Mom,2024-03,132312.67,170,211339.94,-79027.27,371,0.37,11.98
Mom,2024-04,136042.82,170,293275.99,-157233.17,560,0.54,12.42
Mom,2024-05,93841.42,107,215610.3,-121768.88,420,0.56,16.37
Mom,2024-06,387261.49,453,611589.22,-224327.73,1004,0.37,25.51
Mom,2024-07,261803.54,381,437242.37,-175438.83,849,0.4,31.8
Mom,2024-08,380635.51,490,515424.41,-134788.9,840,0.26,24.52
Mom,2024-09,429554.95,456,584920.6,-155365.65,846,0.27,15.54
Mom,2024-10,416231.67,451,606532.69,-190301.02,908,0.31,17.3
Mom,2024-11,123385.74,135,239838.12,-116452.38,405,0.49,6.49
Mom,2024-12,100517.78,105,184312.98,-83795.2,303,0.45,6.53
Mom,2025-01,53933.98,49,127589.75,-73655.77,217,0.58,3.05
Wide Leg,2024-02,9299.76,10,30859.66,-21559.9,64,0.7,1.18
Wide Leg,2024-03,123924.33,134,148491.94,-24567.61,202,0.17,11.22
Wide Leg,2024-04,225453.98,237,255580.87,-30126.89,315,0.12,20.58
Wide Leg,2024-05,75258.11,71,118197.95,-42939.84,169,0.36,13.12
