year_month,net_sales,gross_sales,return_amount,net_qty,gross_qty,return_qty,n_rows,n_sale_rows,n_return_rows,n_stores,return_rate_amount,return_rate_qty,avg_line_amount,avg_selling_price,mom_growth_pct
2024-02,785735.97,1105550.28,-319814.31,911,1319,-408,1724,1317,407,312,0.29,0.31,455.76,838.17,
2024-03,1104566.7,1452691.4,-348124.7,1278,1720,-442,2161,1719,442,322,0.24,0.26,511.14,844.59,40.58
2024-04,1095333.41,1602172.47,-506839.06,1231,1853,-622,2474,1852,622,323,0.32,0.34,442.74,864.64,-0.84
2024-05,573409.92,1014704.95,-441295.03,598,1137,-539,1675,1136,539,312,0.43,0.47,342.33,892.44,-47.65
2024-06,1517893.69,2303992.79,-786099.1,1629,2534,-905,3434,2531,903,331,0.34,0.36,442.02,909.23,164.71
2024-07,823349.53,1435455.69,-612106.16,948,1691,-743,2430,1688,742,325,0.43,0.44,338.83,848.88,-45.76
2024-08,1552272.36,2076556.29,-524283.93,1641,2238,-597,2831,2234,597,323,0.25,0.27,548.31,927.86,88.53
2024-09,2764291.85,3538368.97,-774077.12,2566,3386,-820,4201,3382,819,333,0.22,0.24,658.01,1045.0,78.08
2024-10,2405850.59,3444624.93,-1038774.34,2338,3429,-1091,4519,3428,1091,338,0.3,0.32,532.39,1004.56,-12.97
2024-11,1900096.42,2600210.72,-700114.3,1855,2568,-713,3278,2565,713,338,0.27,0.28,579.65,1012.54,-21.02
2024-12,1539212.4,2195395.58,-656183.18,1391,2060,-669,2729,2060,669,336,0.3,0.32,564.02,1065.73,-18.99
2025-01,1768477.6,2338437.87,-569960.27,1534,2076,-542,2614,2072,542,337,0.24,0.26,676.54,1126.42,14.89
