year_month,net_sales,net_qty,index_vs_mean,deviation_pct,n_observations_for_this_month,seasonality_verifiable
2024-02,785735.97126,911,52.9,-47.1,1,False
2024-03,1104566.69813,1278,74.3,-25.7,1,False
2024-04,1095333.40604,1231,73.7,-26.3,1,False
2024-05,573409.924,598,38.6,-61.4,1,False
2024-06,1517893.6850400001,1629,102.2,2.2,1,False
2024-07,823349.53119,948,55.4,-44.6,1,False
2024-08,1552272.35838,1641,104.5,4.5,1,False
2024-09,2764291.84798,2566,186.0,86.0,1,False
2024-10,2405850.58941,2338,161.9,61.9,1,False
2024-11,1900096.4221700002,1855,127.9,27.9,1,False
2024-12,1539212.40017,1391,103.6,3.6,1,False
2025-01,1768477.60399,1534,119.0,19.0,1,False
