year_week,net_sales,net_qty,n_rows
2024-W05,150820.22,182,292
2024-W06,184817.72,216,428
2024-W07,199288.04,235,454
2024-W08,166834.03,185,359
2024-W09,200669.03,224,400
2024-W10,238207.89,272,455
2024-W11,188275.6,214,422
2024-W12,234388.74,282,494
2024-W13,327001.4,379,581
2024-W14,471385.71,534,865
2024-W15,328119.81,369,707
2024-W16,155315.2,176,438
2024-W17,116726.85,127,375
2024-W18,116834.11,127,339
2024-W19,152660.29,167,375
2024-W20,148653.94,150,408
2024-W21,131579.79,135,400
2024-W22,286454.61,293,635
2024-W23,522388.58,554,1007
2024-W24,354812.01,367,922
2024-W25,241506.53,276,560
2024-W26,160199.58,183,552
2024-W27,176462.12,212,550
2024-W28,161354.16,185,538
2024-W29,235928.51,279,580
2024-W30,189799.39,212,532
2024-W31,209603.47,230,533
2024-W32,325108.27,356,663
2024-W33,306504.18,326,618
2024-W34,415636.94,432,648
2024-W35,449410.71,449,745
2024-W36,740133.9,695,1077
2024-W37,663182.2,623,958
2024-W38,607354.99,550,979
2024-W39,611682.45,564,951
2024-W40,574638.62,526,988
2024-W41,662615.49,613,1021
2024-W42,487565.77,487,989
2024-W43,470302.1,481,1037
2024-W44,500077.02,492,963
2024-W45,463870.75,424,734
2024-W46,558721.69,572,965
2024-W47,349421.7,329,595
2024-W48,375951.26,415,775
2024-W49,273773.98,236,612
2024-W50,336193.27,294,636
2024-W51,339541.34,309,557
2024-W52,394952.64,354,600
2025-W01,413126.24,359,591
2025-W02,371370.73,322,538
2025-W03,439097.39,380,589
2025-W04,388411.2,334,646
2025-W05,261758.26,233,394
