fit,StoreCode,net_sales,gross_sales,return_amount,discount_amount,net_qty,n_rows,gross_h1,gross_h2,growth_index,growth_ratio_h2_h1,return_rate_amount,discount_intensity,net_share_pct
Baggy,1501,3826.33,5099.05,-1272.72,327.2727,4,6,2735.43,2363.62,-0.0729,0.8641,0.2496,0.0603,0.0215
Baggy,1502,4309.06,5399.96,-1090.9,327.2727,4,6,1854.53,3545.43,0.3131,1.9118,0.202,0.0571,0.0242
Baggy,1504,0.0,1090.9,-1090.9,0.0,0,2,0.0,1090.9,1.0,,1.0,0.0,0.0
Baggy,1505,5000.2572,5763.8872,-763.63,-119.2,4,6,882.8273,4881.06,0.6937,5.5289,0.1325,0.0348,0.028
Baggy,1512,181.82,1272.72,-1090.9,0.0,0,2,0.0,1272.72,1.0,,0.8571,0.0,0.001
Baggy,1515,2272.71,3227.25,-954.54,0.0,2,4,0.0,3227.25,1.0,,0.2958,0.0897,0.0127
Baggy,1516,2545.44,5545.41,-2999.97,0.0,2,8,1090.9,4454.51,0.6066,4.0833,0.541,0.0,0.0143
Baggy,1518,2545.44,2545.44,0.0,0.0,2,2,0.0,2545.44,1.0,,0.0,0.0,0.0143
Baggy,1519,2050.41,3959.48,-1909.07,212.1182,2,6,1090.9,2868.58,0.449,2.6296,0.4822,0.0508,0.0115
Baggy,1520,2036.35,2036.35,0.0,327.2727,2,2,0.0,2036.35,1.0,,0.0,0.1385,0.0114
Baggy,1521,1315.63,2406.53,-1090.9,0.0,1,3,0.0,2406.53,1.0,,0.4533,0.0,0.0074
Baggy,1522,1272.72,1272.72,0.0,0.0,1,1,0.0,1272.72,1.0,,0.0,0.0,0.0071
Baggy,1523,9545.39,9545.39,0.0,0.0,8,8,0.0,9545.39,1.0,,0.0,0.0,0.0535
Baggy,1524,3384.3865,4211.6465,-827.26,0.0,3,5,0.0,4211.6465,1.0,,0.1964,0.0776,0.019
Baggy,1529,3136.34,3136.34,0.0,318.1818,3,3,0.0,3136.34,1.0,,0.0,0.0921,0.0176
Baggy,1531,-90.91,1181.81,-1272.72,0.0,0,2,0.0,1181.81,1.0,,1.0769,0.0,-0.0005
Baggy,1534,2545.44,2545.44,0.0,0.0,2,2,0.0,2545.44,1.0,,0.0,0.0,0.0143
Baggy,1535,5475.96,5475.96,0.0,318.1818,5,5,2157.8,3318.16,0.2119,1.5378,0.0,0.0549,0.0307
Baggy,1536,2252.71,2252.71,0.0,0.0,2,2,0.0,2252.71,1.0,,0.0,0.0,0.0126
Baggy,1538,4025.2,5970.64,-1945.44,520.2182,4,8,0.0,5970.64,1.0,,0.3258,0.1243,0.0226
Baggy,1539,1272.72,1272.72,0.0,0.0,1,1,0.0,1272.72,1.0,,0.0,0.0,0.0071
Baggy,1540,2040.89,4313.6,-2272.71,272.7273,2,6,1090.9,3222.7,0.4942,2.9542,0.5269,0.0595,0.0114
Baggy,1541,3136.34,3136.34,0.0,318.1818,3,3,0.0,3136.34,1.0,,0.0,0.0921,0.0176
Baggy,1542,3186.34,5549.96,-2363.62,177.2727,3,7,1090.9,4459.06,0.6069,4.0875,0.4259,0.031,0.0179
Baggy,1543,10361.3373,10361.3373,0.0,197.4909,9,9,3272.7,7088.6373,0.3683,2.166,0.0,0.0187,0.0581
Baggy,1544,1272.72,2363.62,-1090.9,0.0,1,3,1090.9,1272.72,0.0769,1.1667,0.4615,0.0,0.0071
Baggy,1545,2363.62,2363.62,0.0,0.0,2,2,1090.9,1272.72,0.0769,1.1667,0.0,0.0,0.0133
Baggy,1546,6909.04,6909.04,0.0,0.0,6,6,1090.9,5818.14,0.6842,5.3333,0.0,0.0,0.0387
Baggy,1547,3454.52,3454.52,0.0,0.0,3,3,1090.9,2363.62,0.3684,2.1667,0.0,0.0,0.0194
Baggy,1549,954.9,2045.8,-1090.9,0.0,1,3,954.9,1090.9,0.0665,1.1424,0.5332,0.0,0.0054
Baggy,1551,9163.57,9163.57,0.0,381.8182,8,8,2181.8,6981.77,0.5238,3.2,0.0,0.04,0.0514
Baggy,1554,1272.72,1272.72,0.0,0.0,1,1,0.0,1272.72,1.0,,0.0,0.0,0.0071
