rank,fit,StoreCode,net_sales,gross_sales,return_amount,discount_amount,net_qty,n_rows,gross_h1,gross_h2,growth_index,growth_ratio_h2_h1,return_rate_amount,discount_intensity,net_share_pct,potential_score,pctile_growth_index,pctile_return_rate_amount,pctile_discount_intensity,pctile_net_share_pct,score_excl_discount
1,Straight,1788,15191.12,16282.02,-1090.9,172.3909,14,16,918.51,15363.51,0.8872,16.7266,0.067,0.0105,0.0852,91.1,96.6,96.2,83.3,78.4,93.1
2,Straight,1532,15843.6096,17257.2196,-1413.61,-41.5454,14,18,2109.71,15147.5096,0.7555,7.1799,0.0819,0.0042,0.0889,88.0,88.0,94.6,86.1,79.6,88.5
3,Flare,1662,13152.89,15061.96,-1909.07,132.3546,13,17,818.17,14243.79,0.8914,17.4093,0.1267,0.0087,0.0738,87.8,96.8,86.0,84.4,71.2,88.6
4,Wide Leg,1688,27015.3681,31515.3381,-4499.97,173.8,23,31,3181.79,28333.5481,0.7981,8.9049,0.1428,0.0154,0.1515,87.5,91.6,83.5,78.1,95.8,89.9
5,Wide Leg,1543,20489.4491,23041.9491,-2552.5,-633.8364,17,23,3090.88,19951.0691,0.7317,6.4548,0.1108,0.0076,0.1149,87.4,86.1,89.9,85.1,89.8,88.0
6,Straight,1651,27759.7058,28541.5158,-781.81,1046.8182,26,28,1999.98,26541.5358,0.8599,13.2709,0.0274,0.0354,0.1557,87.0,95.2,98.1,50.0,96.2,96.3
7,Flare,1861,9582.512,10764.322,-1181.81,96.2546,9,11,0.0,10764.322,1.0,,0.1098,0.0089,0.0537,86.7,98.7,90.3,84.1,51.9,87.3
8,Straight,1541,10181.74,12181.72,-1999.98,0.0,9,13,0.0,12181.72,1.0,,0.1642,0.0,0.0571,86.3,98.7,79.4,93.3,55.7,84.6
9,Straight,1655,18139.0129,20229.9029,-2090.89,442.2727,17,21,2090.89,18139.0129,0.7933,8.6753,0.1034,0.0214,0.1017,86.2,91.2,91.5,69.3,86.2,90.4
10,Straight,1621,24121.2398,28772.0998,-4650.86,20.3909,22,32,1999.98,26772.1198,0.861,13.3862,0.1616,0.0218,0.1353,86.0,95.4,80.1,68.7,94.0,90.4
11,Straight,1801,22682.3534,25434.3234,-2751.97,-10.5727,21,27,4126.17,21308.1534,0.6755,5.1641,0.1082,0.0057,0.1272,85.7,80.3,90.4,85.6,92.8,85.8
12,Flare,1860,8363.56,9181.73,-818.17,0.0,8,10,818.17,8363.56,0.8218,10.2223,0.0891,0.0,0.0469,85.7,93.2,93.4,93.3,42.5,83.8
13,Flare,1544,10506.93,11688.74,-1181.81,178.2546,10,12,818.17,10870.57,0.86,13.2864,0.1011,0.015,0.0589,85.4,95.3,91.6,78.5,57.9,87.1
14,Straight,1732,10866.57,11775.65,-909.08,315.1545,10,12,0.0,11775.65,1.0,,0.0772,0.0261,0.0609,85.0,98.7,95.2,63.3,60.1,90.4
15,Straight,1688,32349.84,38274.61,-5924.77,633.3364,30,42,3999.96,34274.65,0.791,8.5687,0.1548,0.0227,0.1814,85.0,90.9,81.5,67.4,98.3,89.4
