rank,fit,net_sales,gross_sales,return_amount,discount_amount,net_qty,n_rows,gross_h1,gross_h2,growth_index,growth_ratio_h2_h1,return_rate_amount,discount_intensity,net_share_pct,potential_score,pctile_growth_index,pctile_return_rate_amount,pctile_discount_intensity,pctile_net_share_pct,score_excl_discount
1,Straight,4299772.6236,5817280.7536,-1517508.13,164667.2633,4086,7170,1092456.5728,4724824.1808,0.6244,4.325,0.2609,0.0378,24.1147,80.5,90.0,70.0,60.0,100.0,85.6
2,Baggy,1020834.8944,1333696.9144,-312862.02,52715.5275,920,1536,225534.9607,1108161.9537,0.6618,4.9135,0.2346,0.0553,5.7252,76.5,100.0,90.0,40.0,40.0,85.6
3,Flare,3179695.1091,4532113.0191,-1352417.91,107423.6877,3102,6136,1091554.0872,3440558.9319,0.5183,3.152,0.2984,0.0327,17.8329,66.5,80.0,20.0,80.0,90.0,63.1
4,Wide Leg,2515807.887,3437087.5269,-921279.6399,103785.6551,2326,4158,983706.941,2453380.5858,0.4276,2.494,0.268,0.042,14.1096,58.5,70.0,40.0,50.0,70.0,60.6
5,Slim Straight,1558790.217,2056916.137,-498125.92,20350.4697,1641,2779,1507695.68,549220.457,-0.466,0.3643,0.2422,0.0243,8.7423,53.5,20.0,80.0,90.0,50.0,44.4
6,Super Skinny,1789616.0002,2489494.6802,-699878.68,63447.9132,1892,3510,1187808.7118,1301685.9684,0.0457,1.0959,0.2811,0.0364,10.0368,50.5,50.0,30.0,70.0,60.0,45.6
7,Mom,2629281.5483,4193398.0083,-1564116.46,255974.4404,3128,7028,1934779.463,2258618.5453,0.0772,1.1674,0.373,0.0762,14.746,40.0,60.0,0.0,20.0,80.0,45.0
8,Renkli Denim,98143.2818,133544.9518,-35401.67,20807.4001,110,181,91179.0311,42365.9207,-0.3655,0.4646,0.2651,0.1514,0.5504,33.5,40.0,50.0,10.0,20.0,39.4
9,Skinny,725130.929,1096403.529,-371272.6,45287.7273,679,1512,781625.7105,314777.8185,-0.4258,0.4027,0.3386,0.0574,4.0668,25.0,30.0,10.0,30.0,30.0,23.8
10,Boyfriend,13417.9474,18226.4174,-4808.47,6199.2818,36,60,18226.4174,0.0,-1.0,0.0,0.2638,0.2961,0.0753,20.5,10.0,60.0,0.0,10.0,25.6
