rank,fit,StoreCode,potential_score,score_excl_discount,growth_index,return_rate_amount,discount_intensity,net_sales,n_rows
1,Straight,1788,91.1,93.1,0.8872,0.067,0.0105,15191.12,16
2,Straight,1532,88.0,88.5,0.7555,0.0819,0.0042,15843.6096,18
3,Flare,1662,87.8,88.6,0.8914,0.1267,0.0087,13152.89,17
4,Wide Leg,1688,87.5,89.9,0.7981,0.1428,0.0154,27015.3681,31
5,Wide Leg,1543,87.4,88.0,0.7317,0.1108,0.0076,20489.4491,23
6,Straight,1651,87.0,96.3,0.8599,0.0274,0.0354,27759.7058,28
7,Flare,1861,86.7,87.3,1.0,0.1098,0.0089,9582.512,11
8,Straight,1541,86.3,84.6,1.0,0.1642,0.0,10181.74,13
9,Straight,1655,86.2,90.4,0.7933,0.1034,0.0214,18139.0129,21
10,Straight,1621,86.0,90.4,0.861,0.1616,0.0218,24121.2398,32
11,Straight,1801,85.7,85.8,0.6755,0.1082,0.0057,22682.3534,27
12,Flare,1860,85.7,83.8,0.8218,0.0891,0.0,8363.56,10
13,Flare,1544,85.4,87.1,0.86,0.1011,0.015,10506.93,12
14,Straight,1732,85.0,90.4,1.0,0.0772,0.0261,10866.57,12
15,Straight,1688,85.0,89.4,0.791,0.1548,0.0227,32349.84,42
16,Straight,1546,84.5,90.4,0.8632,0.106,0.0278,14262.19,17
17,Flare,1932,84.5,86.4,0.8308,0.1663,0.0161,15489.8327,21
18,Straight,1817,84.1,83.7,0.8907,0.2157,0.0046,14440.29,21
19,Straight,1618,84.1,93.0,0.8663,0.1323,0.0364,37637.62,47
20,Wide Leg,1552,83.8,85.3,0.8042,0.2071,0.0156,22525.9866,30
21,Flare,1551,83.4,83.6,0.7766,0.1313,0.0107,11669.8895,15
22,Straight,1535,83.4,88.6,0.8716,0.1136,0.0264,12552.64,15
23,Straight,1552,83.3,86.8,0.7937,0.1932,0.0215,36968.9348,52
24,Straight,1898,83.2,88.2,0.7989,0.0,0.0259,10850.4666,10
25,Straight,1883,83.1,93.6,0.8761,0.062,0.0419,16517.3622,18
